Site,Site_transect,Month,Latitude,Longitude,Elevation,tmax,tmin,tavg,vapr,wind,srad,prec
Raj,RAJ_T5,Oct,17.579194,73.910306,1132,26.39999962,17,21.70000076,1.799999952,1.200000048,18853,121
Raj,RAJ_T6,Oct,17.574083,73.91525,1088,26.60000038,17.20000076,21.89999962,1.820000052,1.200000048,18827,120
Raj,RAJ_T7,Oct,17.565028,73.922972,1092,26.79999924,17.20000076,22,1.820000052,1.200000048,18855,119
Cha,CHA_T1,Oct,17.625167,73.815139,1184,25.5,16.89999962,21.20000076,1.799999952,1.200000048,18949,132
Cha,CHA_T2,Oct,17.575556,73.823806,1148,25.89999962,17,21.39999962,1.820000052,1.299999952,18930,130
Cha,CHA_T3,Oct,17.623028,73.811389,1154,25.70000076,17,21.39999962,1.809999943,1.200000048,18929,131
Cha,CHA_T4,Oct,17.601694,73.814972,1152,25.70000076,17.10000038,21.39999962,1.820000052,1.299999952,18947,131
Cha,CHA_T5,Oct,17.620917,73.811778,1154,25.70000076,17,21.39999962,1.809999943,1.200000048,18929,131
Cha,CHA_T6,Oct,17.534611,73.845389,1126,26.20000076,17.20000076,21.70000076,1.830000043,1.200000048,18868,128
Cha,CHA_T7,Oct,17.495222,73.827694,1088,26,17.39999962,21.70000076,1.860000014,1.200000048,18787,129
Udg,UDG_T1,Oct,17.078194,73.854306,1001,26.39999962,17.89999962,22.20000076,1.950000048,1.299999952,18553,130
Udg,UDG_T2,Oct,17.07825,73.853833,1001,26.39999962,17.89999962,22.20000076,1.950000048,1.299999952,18553,130
Udg,UDG_T3,Oct,17.0825,73.850778,1001,26.39999962,17.89999962,22.20000076,1.950000048,1.299999952,18553,130
Udg,UDG_T4,Oct,17.084583,73.850722,982,26.60000038,18,22.29999924,1.950000048,1.299999952,18574,129
Udg,UDG_T5,Oct,17.087472,73.84925,1005,26.39999962,17.89999962,22.10000038,1.950000048,1.299999952,18527,130
Udg,UDG_T6,Oct,17.087361,73.848611,1005,26.39999962,17.89999962,22.10000038,1.950000048,1.299999952,18527,130
